NU_ANO_CENSO;NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;TP_DEPENDENCIA;QT_MAT_BAS;QT_MAT_INF;QT_MAT_INF_CRE;QT_MAT_INF_PRE;QT_MAT_FUND;QT_MAT_FUND_AI;QT_MAT_FUND_AF
2015;Cajazeiras;2503704;EMEIEF MARIA GUIMARAES COELHO;3;170;26;0;26;144;90;54
2015;Cajazeiras;2503704;ESCOLA MUNDO INFANTIL;4;198;95;43;52;103;103;0
2015;Cajazeiras;2503704;ESCOLA VITORIA-REGIA;4;584;103;12;91;481;252;229
2015;Cajazeiras;2503704;ESC PROFISSIONAL MONTE CARMELO;2;233;0;0;0;219;219;0
2015;Cajazeiras;2503704;IFPB - CAMPUS CAJAZEIRAS;1;822;0;0;0;0;0;0
2015;Cajazeiras;2503704;EMEIEF VITORIA BEZERRA;3;407;29;0;29;378;251;127
2015;Cajazeiras;2503704;EMEIEF GALDINO PIRES FERREIRA;3;225;66;0;66;159;102;57
2015;Cajazeiras;2503704;UFCG - ESCOLA TECNICA DE SAUDE DE CAJAZEIRAS DA UFCG;1;380;0;0;0;0;0;0
2015;Cajazeiras;2503704;CEJA - CENTRO DE EDUCACAO DE JOVENS ADULTOS MONS VICENTE FREITAS;2;1100;0;0;0;0;0;0
2015;Cajazeiras;2503704;EEEF ANTONIO DIAS DA SILVA;2;66;0;0;0;43;43;0
2015;Cajazeiras;2503704;EMEIEF JOSE ANTONIO DO NASCIMENTO;3;17;9;0;9;8;8;0
2015;Cajazeiras;2503704;EMEIEF JOSE ANTONIO DIAS;3;205;0;0;0;205;120;85
2015;Cajazeiras;2503704;EMEIEF ANTONIO TABOSA RODRIGUES - CAIC;3;270;15;0;15;255;153;102
2015;Cajazeiras;2503704;CENTRO EDUCACIONAL JOSUE ROBERTO;4;56;32;13;19;24;24;0
2015;Cajazeiras;2503704;EEIF SAGRADO CORACAO DE JESUS;4;46;36;0;36;10;10;0
2015;Cajazeiras;2503704;CRECHE FRANCISCA LEANDRO DE SOUSA;3;54;54;30;24;0;0;0
2015;Cajazeiras;2503704;ESC DE ENS FUND NOVA GERACAO;4;11;4;0;4;7;7;0
2015;Cajazeiras;2503704;EDUC CHAPEUZINHO VERMELHO;4;102;54;18;36;48;48;0
